Publisher,Headquarters,Total_Profits
"Microsoft Game Studios","Redmond, Washington, USA",40.24
Coleco,"West Hartford, Connecticut, USA",35.82
"MTV Games","New York, USA",39.67
"Take-Two Interactive","New York, USA",31.37
Activision,"Santa Monica, USA",30.01
"Bethesda Softworks","Rockville, Maryland, USA",28.62
"Electronic Arts","Redwood City, California, USA",24.76
"Disney Interactive Studios","Glendale, California, USA",27.46
"CPG Products","Beverly, Massachusetts, USA",21.40
Atari,"Sunnyvale, California, USA",20.81
"TDK Mediactive","Westlake Village, California, USA",20.22
"ASC Games","Darien, Connecticut, USA",18.36
"505 Games","Calabasas, California, USA",16.38
"Zoo Games","Cincinnati, Ohio, USA",15.85
Accolade,"San Jose, California, USA",15.32
"Sony Online Entertainment","San Diego, California, USA",15.30
3DO,"Redwood City, California, USA",14.98
"Destination Software, Inc","Mundelein, Illinois, USA",13.51
RedOctane,"Sunnyvale, California, USA",13.10
"20th Century Fox Video Games","Los Angeles, California, USA",12.73
"Vivendi Games","Los Angeles, California, USA",12.14
"Hudson Entertainment","San Jose, California, USA",11.98
"Brash Entertainment","Los Angeles, California, USA",21.48
"ITT Family Games","New York, USA",21.09
"PopCap Games","Seattle, Washington, USA",19.51
Men-A-Vision,"Los Angeles, California, USA",10.77
"Hasbro Interactive","Pawtucket, Rhode Island, USA",10.26
"Destination Software, Inc","Minnetonka, Minnesota, USA",9.88
"XS Games","New York, USA",9.59
"Activision Blizzard","Santa Monica, California, USA",9.52
Ultravision,"Los Angeles, California, USA",9.20
"GameMill Entertainment","Minneapolis, Minnesota, USA",9.09
"Crystal Dynamics","San Mateo, California, USA",8.76
NovaLogic,"Calabasas, California, USA",8.49
THQ,"Agoura Hills, California, USA",8.33
"Telltale Games","San Rafael, California, USA",8.09
"GT Interactive","New York, USA",8.05
Ackkstudios,"New York, USA",7.84
"Angel Studios","San Diego, California, USA",7.81
"BAM! Entertainment","San Jose, California, USA",7.72
"Starpath Corp.","Santa Clara, California, USA",7.60
"Knowledge Adventure","Torrance, California, USA",7.60
Mastiff,"San Francisco, California, USA",7.45
NewKidCo,"New York, USA",13.45
LucasArts,"San Francisco, California, USA",7.27
"Storm City Games","Las Vegas, Nevada, USA",7.23
"CBS Electronics","New York, USA",13.16
"Black Label Games","Los Angeles, California, USA",6.96
"Fox Interactive","Los Angeles, California, USA",11.15
"SouthPeak Games","Grapevine, Texas, USA",6.95
"Acclaim Entertainment","Glen Cove, New York, USA",10.97
"Angel Studios","Carlsbad, California, USA",11.67
"Mentor Interactive","Pittsburgh, Pennsylvania, USA",6.59
"Tetris Online","Honolulu, Hawaii, USA",6.41
"Harmonix Music Systems","Cambridge, Massachusetts, USA",6.40
"Gathering of Developers","Dallas, Texas, USA",6.30
"Storm City Games","El Segundo, California, USA",6.05
"CokeM Interactive","St. Louis, Missouri, USA",6.03
"Data Age","Campbell, California, USA",5.72
TalonSoft,"Baltimore, Maryland, USA",5.58
Playmates,"Costa Mesa, California, USA",9.88
"Warner Bros. Interactive Entertainment","Burbank, California, USA",5.50
Touchstone,"Burbank, California, USA",5.49
"Majesco Entertainment","Hazlet, New Jersey, USA",5.45
"Universal Interactive","Los Angeles, California, USA",5.42
"Scholastic Inc.","New York, USA",5.36
"Mud Duck Productions","Beverly Hills, California, USA",5.31
Screenlife,"Seattle, Washington, USA",5.30
Agetec,"Santa Clara, California, USA",5.29
"Jack of All Games","West Chester, Ohio, USA",5.27
"989 Sports","Foster City, California, USA",5.24
Interplay,"Irvine, California, USA",5.23
Mystique,"Los Angeles, California, USA",5.19
Microprose,"Hunt Valley, Maryland, USA",5.18
"Red Orb","San Francisco, California, USA",5.17
"Midway Games","Chicago, Illinois, USA",5.12
Tigervision,"Sunnyvale, California, USA",5.08
JVC,"Los Angeles, California, USA",5.05
"Metro 3D","San Jose, California, USA",9.70
"Mattel Interactive","El Segundo, California, USA",9.62
"989 Studios","Foster City, California, USA",4.90
"Sony Computer Entertainment America","San Mateo, California, USA",9.45
"Universal Gamex","New York, USA",4.83
"Parker Bros.","Beverly, Massachusetts, USA",4.82
Maxis,"Emeryville, California, USA",4.77
"Wizard Video Games","Los Angeles, California, USA",4.76
Imagic,"Los Gatos, California, USA",4.73
"Valve Software","Bellevue, Washington, USA",4.64
Mindscape,"Northbrook, Illinois, USA",4.60
"Wizard Video Games","Philadelphia, Pennsylvania, USA",4.55
"Activision Value","Santa Monica, California, USA",4.49
"Red Storm Entertainment","Cary, North Carolina, USA",4.44
Destineer,"Minneapolis, Minnesota, USA",8.57
"Xseed Games","Torrance, California, USA",8.53
"Global Star","New York, USA",4.31
"Gotham Games","New York, USA",4.31
"Westwood Studios","Las Vegas, Nevada, USA",4.31
"CPG Products","Chicago, Illinois, USA",4.23
"Crave Entertainment","Newport Beach, California, USA",4.22
"Trion Worlds","Redwood City, California, USA",4.21
